"Champion","DPS","Attack_Speed","Damage","Range","Health","Mana","Armor","MR"
"Aatrox","82","0.7","117","1","1260","85","35","20"
"Annie","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Ashe","NaN","NaN","NaN","NaN","990","NaN","NaN","NaN"
"Azir","36","0.8","45","3","1080","100","20","20"
"Brand","65","0.6","108","3","1260","150","25","20"
"Braum","43","0.6","72","1","1350","65","60","20"
"Diana","63","0.7","90","1","990","100","20","20"
"Dr. Mundo","59","0.6","99","1","1350","125","35","20"
"Ezreal","82","0.7","117","3","1080","40","20","20"
"Ivern","54","0.6","90","2","1080","100","25","20"
"Janna","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Jax","65","0.8","81","1","1170","125","30","20"
"Khazix","NaN","NaN","45","NaN","1350","40","25","20"
"Kindred","74","0.75","99","3","1170","0","20","20"
"KogMaw","29","0.65","45","3","900","45","20","20"
"Leblanc","69","0.7","99","2","990","80","20","20"
"Lux","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Malphite","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Malzahar","47","0.65","72","3","990","125","20","20"
"Maokai","50","0.5","99","1","1170","0","35","20"
"Master Yi","NaN","NaN","NaN","NaN","NaN","150","NaN","NaN"
"Nami","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Nasus","50","0.55","90","1","1170","100","40","20"
"Nautilus","59","0.6","99","1","1530","125","40","20"
"Neeko","57","0.7","81","2","900","80","20","20"
"Nocturne","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Olaf","38","0.85","45","1","1350","100","30","20"
"Ornn","50","0.55","90","1","1170","75","40","20"
"Qiyana","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"RekSai","76","0.7","108","1","1170","75","30","20"
"Renekton","59","0.6","99","1","1080","100","35","20"
"Singed","0","0","0","0","NaN","0","NaN","20"
"Sion","29","0.65","45","1","1440","150","35","20"
"Sivir","NaN","NaN","NaN","NaN","1080","NaN","NaN","NaN"
"Skarner","59","0.65","90","1","1170","100","30","20"
"Soraka","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Syndra","50","0.7","72","3","900","80","20","20"
"Taliyah","47","0.65","72","3","900","85","20","20"
"Taric","NaN","NaN","NaN","NaN","1620","NaN","60","NaN"
"Thresh","54","0.55","99","1","1260","125","40","20"
"Twitch","NaN","0.75","NaN","NaN","1170","90","20","20"
"Varus","81","0.75","108","4","990","100","25","20"
"Vayne","54","0.75","72","3","900","0","25","20"
"Veigar","45","0.55","81","3","900","75","20","20"
"Vladimir","47","0.65","72","2","990","75","30","20"
"Volibear","69","0.7","99","1","1530","75","35","2"
"Warwick","54","0.6","90","1","1170","150","30","20"
"Yasuo","69","0.7","99","1","1080","100","30","20"
"Yorick","NaN","NaN","NaN","NaN","1440","75","35","20"
"Zed","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Zyra","29","0.65","45","3","900","75","20","20"
