Label,Role
"A (First Raikage)", "role_0"
"Ameyuri Ringo", "role_1"
"Araya", "role_0"
"Asuma Sarutobi", "role_1"
"Asura Otsutsuki", "role_1"
"Azami Nakiri", "role_0"
"Boruto Uzumaki", "role_1"
"Buntan Kurosuki", "role_0"
"Byakuren", "role_1"
"Chiyo", "role_0"
"Chocho Akimichi", "role_1"
"Choji Akimichi", "role_1"
"Chouza Akimichi", "role_0"
"Dan Katou", "role_0"
"Deidara", "role_0"
"Ebisu", "role_0"
"Ebizou", "role_0"
"Freyja Wion", "role_0"
"Fugaku Uchiha", "role_1"
"Gaara", "role_1"
"Gengetsu Hozuki (Second Mizukage)", "role_0"
"Hagoromo Otsutsuki", "role_0"
"Haku", "role_0"
"Hamura Otsutsuki", "role_0"
"Hana Inuzuka", "role_0"
"Hanabi Hyuga", "role_1"
"Hanzo of the Salamander", "role_1"
"Hashirama Senju", "role_1"
"Hassaku Onomichi", "role_0"
"Hebiichigo", "role_0"
"Hiashi Hyuga", "role_0"
"Himawari Uzumaki", "role_1"
"Hinata Hyuga", "role_1"
"Hinata Hyuga (child)", "role_1"
"Hiruzen Sarutobi", "role_1"
"Hizashi Hyuga", "role_1"
"Homura Mitokado", "role_1"
"Ichirota Oniyuzu", "role_0"
"Indra Otsutsuki", "role_0"
"Ino Yamanaka", "role_1"
"Inoichi Yamanaka", "role_1"
"Inojin Yamanaka", "role_1"
"Iruka Umino", "role_1"
"Ishikawa", "role_1"
"Itachi Uchiha", "role_1"
"Izuna Uchiha", "role_0"
"JK", "role_0"
"Jinin Akebino", "role_1"
"Jinpachi Munashi", "role_1"
"Jiraiya", "role_1"
"Jiraiya (young)", "role_0"
"Juzo Biwa", "role_1"
"Kaguya Otsutsuki", "role_0"
"Kakashi Hatake", "role_1"
"Kankurou", "role_1"
"Karatachi Yagura", "role_0"
"Karin Uzumaki", "role_0"
"Karui", "role_0"
"Karura", "role_1"
"Kiba Inuzuka", "role_1"
"Kisame Hoshigaki", "role_1"
"Koharu Utatane", "role_1"
"Konan", "role_0"
"Konohamaru Sarutobi", "role_1"
"Kumi Mashiba", "role_0"
"Kurenai Yuhi", "role_1"
"Kurotsuchi", "role_0"
"Kushimaru Kuriarare", "role_1"
"Kushina Uzumaki", "role_1"
"Kyoho Fuefuki", "role_0"
"Madara Uchiha", "role_1"
"Mangetsu Houzuki", "role_1"
"Menma Uzumaki", "role_1"
"Mifune", "role_0"
"Might Duy", "role_0"
"Might Guy", "role_1"
"Mikoto Uchiha", "role_1"
"Minato Namikaze", "role_1"
"Mito Uzumaki", "role_1"
"Mitsuki", "role_1"
"Moegi Kazamatsuri", "role_1"
"Mu", "role_0"
"Nagato Uzumaki ", "role_0"
"Naruto Uzumaki", "role_1"
"Nawaki", "role_1"
"Neji Hyuga", "role_1"
"Onoki", "role_0"
"Orochimaru", "role_1"
"Pain", "role_0"
"Quincy Issa", "role_0"
"Raiga Kurosuki", "role_1"
"Rasa", "role_1"
"Reto", "role_0"
"Rin Nohara", "role_0"
"Rock Lee", "role_1"
"Sai", "role_0"
"Sakumo Hatake", "role_0"
"Sakura Haruno", "role_1"
"Sarada Uchiha", "role_1"
"Sasori", "role_1"
"Sasuke Uchiha", "role_1"
"Shibi Aburame", "role_0"
"Shikadai Nara", "role_1"
"Shikaku Nara", "role_1"
"Shikamaru Nara", "role_1"
"Shinki", "role_1"
"Shino Aburame", "role_1"
"Shisui Uchiha", "role_0"
"Shizuma Hoshigaki", "role_0"
"Shizune", "role_0"
"Suigetsu Houzuki", "role_0"
"Temari", "role_1"
"TenTen", "role_0"
"Tenji", "role_0"
"Third Kazekage", "role_0"
"Tobi", "role_1"
"Tobirama Senju", "role_1"
"Tsume Inuzuka", "role_0"
"Tsunade", "role_1"
"Tsunade (young)", "role_0"
"Udon", "role_1"
"Yahiko", "role_0"
"Yamato", "role_0"
"Yodo", "role_0"
"Yoshino Nara", "role_0"
"Yukito Tsujii", "role_0"
"Zabuza Momochi", "role_1"
"Zetsu", "role_0"
