,role_0,role_1,role_2,role_3,role_4,role_5
A (First Raikage),0.03631146240855727,0.03631146240855727,0.5663508320491776,0.2884033183165934,0.03631146240855727,0.03631146240855727
Ameyuri Ringo,0.1346728911490688,0.008634523598592526,0.008634523598592526,0.20996508492309812,0.008634523598592526,0.6294584531320555
Araya,0.02148370725043028,0.17063406565818148,0.02148370725043028,0.7434311053400974,0.02148370725043028,0.02148370725043028
Asuma Sarutobi,0.4489166213416267,0.009336703554595387,0.4489166213416267,0.009336703554595387,0.07415664665296058,0.009336703554595387
Asura Otsutsuki,0.18849405057095642,0.023732371289953275,0.37015441777959185,0.023732371289953275,0.37015441777959185,0.023732371289953275
Azami Nakiri,0.027579044278538578,0.027579044278538578,0.21904620079571208,0.6706376220901337,0.027579044278538578,0.027579044278538578
Boruto Uzumaki,0.12375063869315607,0.3709944709827736,0.005089073788283957,0.0793744174201877,0.24468698159215257,0.17610441752344602
Buntan Kurosuki,0.02148370725043028,0.17063406565818148,0.02148370725043028,0.7434311053400974,0.02148370725043028,0.02148370725043028
Byakuren,0.3551724426685675,0.022771805161566863,0.5537403366851653,0.022771805161566863,0.022771805161566863,0.022771805161566863
Chiyo,0.03631146240855727,0.03631146240855727,0.5663508320491776,0.2884033183165934,0.03631146240855727,0.03631146240855727
Chocho Akimichi,0.22907692166393298,0.11665303663205685,0.5082425694431709,0.11665303663205685,0.01468721781439113,0.01468721781439113
Choji Akimichi,0.16152158373722744,0.319369897432554,0.22985468779711488,0.05275679159465793,0.22985468779711488,0.006642351641330932
Chouza Akimichi,0.0196631927835064,0.0196631927835064,0.4781484346537837,0.15617465316201948,0.3066873338336775,0.0196631927835064
Dan Katou,0.016354853882125316,0.016354853882125316,0.5659501387508755,0.255087085173456,0.12989821442929236,0.016354853882125316
Deidara,0.03631146240855727,0.03631146240855727,0.5663508320491776,0.2884033183165934,0.03631146240855727,0.03631146240855727
Ebisu,0.023732371289953275,0.023732371289953275,0.37015441777959185,0.18849405057095642,0.37015441777959185,0.023732371289953275
Ebizou,0.05028922841366566,0.05028922841366566,0.39942154317266865,0.39942154317266865,0.05028922841366566,0.05028922841366566
Freyja Wion,0.02148370725043028,0.17063406565818148,0.02148370725043028,0.7434311053400974,0.02148370725043028,0.02148370725043028
Fugaku Uchiha,0.08689492993661371,0.010940518993695731,0.37859025137826935,0.08689492993661371,0.2660398079158109,0.17063956183899662
Gaara,0.21608455720071046,0.07057835669570871,0.13859795813929948,0.13859795813929948,0.008886178428781696,0.4272549913962002
Gengetsu Hozuki (Second Mizukage),0.029000637802426753,0.23033718888574584,0.23033718888574584,0.452323708821228,0.029000637802426753,0.029000637802426753
Hagoromo Otsutsuki,0.05028922841366566,0.05028922841366566,0.39942154317266865,0.39942154317266865,0.05028922841366566,0.05028922841366566
Haku,0.02148370725043028,0.17063406565818148,0.02148370725043028,0.7434311053400974,0.02148370725043028,0.02148370725043028
Hamura Otsutsuki,0.05028922841366566,0.05028922841366566,0.39942154317266865,0.39942154317266865,0.05028922841366566,0.05028922841366566
Hana Inuzuka,0.05028922841366566,0.05028922841366566,0.39942154317266865,0.39942154317266865,0.05028922841366566,0.05028922841366566
Hanabi Hyuga,0.24942921067870602,0.1599854230594325,0.24942921067870602,0.08146951373882311,0.010257431165626465,0.24942921067870602
Hanzo of the Salamander,0.29177887029700933,0.09530192000238666,0.5769222027400478,0.011999002320185477,0.011999002320185477,0.011999002320185477
Hashirama Senju,0.22758349562113933,0.4794440693183288,0.22758349562113933,0.05223550219461263,0.006576718622389917,0.006576718622389917
Hassaku Onomichi,0.02148370725043028,0.17063406565818148,0.02148370725043028,0.7434311053400974,0.02148370725043028,0.02148370725043028
Hebiichigo,0.02148370725043028,0.17063406565818148,0.02148370725043028,0.7434311053400974,0.02148370725043028,0.02148370725043028
Hiashi Hyuga,0.01899917833211334,0.01899917833211334,0.46200164333577337,0.46200164333577337,0.01899917833211334,0.01899917833211334
Himawari Uzumaki,0.08306032058549324,0.38822231011975067,0.0053253946810145475,0.08306032058549324,0.25604949043659786,0.18428216359165048
Hinata Hyuga,0.25666829718406275,0.007417212593823698,0.007417212593823698,0.18036382139354196,0.5407162436409242,0.007417212593823698
Hinata Hyuga (child),0.3973234978015021,0.0911946289634798,0.3973234978015021,0.0911946289634798,0.011481873235018187,0.011481873235018187
Hiruzen Sarutobi,0.18005326742573585,0.3793134075608146,0.18005326742573585,0.005203187839562286,0.25017368190858913,0.005203187839562286
Hizashi Hyuga,0.16175304060156528,0.16175304060156528,0.2521850583046002,0.16175304060156528,0.01037076158610387,0.2521850583046002
Homura Mitokado,0.013202896856147847,0.013202896856147847,0.45687851212274855,0.1048638367097936,0.2059259287275811,0.2059259287275811
Ichirota Oniyuzu,0.02148370725043028,0.17063406565818148,0.02148370725043028,0.7434311053400974,0.02148370725043028,0.02148370725043028
Indra Otsutsuki,0.027579044278538578,0.027579044278538578,0.6706376220901337,0.21904620079571208,0.027579044278538578,0.027579044278538578
Ino Yamanaka,0.15339513704693633,0.4712103464066551,0.2131337396458683,0.0044328199268019895,0.0044328199268019895,0.15339513704693633
Inoichi Yamanaka,0.10340929543962948,0.013019762622597592,0.45054125924144467,0.10340929543962948,0.31660062463410127,0.013019762622597592
Inojin Yamanaka,0.1846657392879514,0.011839804359501023,0.4097094947064157,0.09403749226840999,0.2879076650182208,0.011839804359501023
Iruka Umino,0.24169961874623422,0.5343657051436592,0.17395437345290155,0.03992641923115573,0.005026941713024649,0.005026941713024649
Ishikawa,0.3551724426685675,0.022771805161566863,0.5537403366851653,0.022771805161566863,0.022771805161566863,0.022771805161566863
Itachi Uchiha,0.16274368516760596,0.48789249107836835,0.23159380981558797,0.10438479619505647,0.006692608871690645,0.006692608871690645
Izuna Uchiha,0.01869529700203709,0.01869529700203709,0.646939802003096,0.14848715349539632,0.01869529700203709,0.14848715349539632
JK,0.027579044278538578,0.027579044278538578,0.21904620079571208,0.6706376220901337,0.027579044278538578,0.027579044278538578
Jinin Akebino,0.12705648172750206,0.008146199138295118,0.008146199138295118,0.19809053439281935,0.06470108079696679,0.5938595048061216
Jinpachi Munashi,0.11959884763254472,0.007668054524088382,0.007668054524088382,0.18646352644257133,0.11959884763254472,0.5590026692441624
